#{"t_start": 1651051715.872973, "env_id": null}
r,l,t
-89.88128,87,86.157333
-276.453867,205,86.264256
-196.749055,145,86.339292
-1128.657978,501,86.599219
-49.378145,24,86.611773
-520.488802,389,86.812664
-321.047723,209,87.739039
-362.532505,255,87.879349
-286.463145,249,88.008787
-578.860104,501,88.268366
-589.305299,501,88.528816
-106.932005,62,88.561038
-365.061244,226,88.677537
